Pack_ID,DS-A-0-163,DS-A-0-165,DS-A-1-104,DS-A-1-105,DS-A-2-115,DS-A-2-116,DS-A-2-117,DS-A-3-127,DS-A-3-128,DS-A-3-129,DS-A-4-139,DS-A-4-140,DS-A-4-141,DS-B-0-172,DS-B-0-173,DS-B-0-174,DS-B-1-106,DS-B-1-107,DS-B-1-108,DS-B-2-118,DS-B-2-119,DS-B-2-120,DS-B-3-131,DS-B-3-132,DS-B-4-142,DS-B-4-143,DS-C-1-97,DS-C-1-98,DS-C-1-99,DS-C-2-109,DS-C-2-110,DS-C-2-111,DS-C-3-122,DS-C-3-123,DS-C-4-133,DS-C-4-135,DS-O-0-154,DS-O-0-155,DS-O-0-156,DS-O-1-100,DS-O-1-101,DS-O-1-102,DS-O-2-112,DS-O-2-113,DS-O-3-124,DS-O-3-126,DS-O-4-138,G-A-0-160,G-A-0-161,G-A-0-162,G-A-1-55,G-A-1-56,G-A-1-57,G-A-2-67,G-A-2-68,G-A-2-69,G-A-3-79,G-A-3-80,G-A-3-81,G-A-4-91,G-A-4-92,G-B-0-169,G-B-0-170,G-B-1-58,G-B-1-59,G-B-1-60,G-B-2-71,G-B-3-82,G-B-3-83,G-B-3-84,G-B-4-94,G-B-4-96,G-C-1-49,G-C-1-50,G-C-1-51,G-C-2-61,G-C-2-62,G-C-3-73,G-C-3-74,G-C-3-75,G-C-4-85,G-C-4-87,G-O-0-151,G-O-0-152,G-O-0-153,G-O-1-52,G-O-1-53,G-O-1-54,G-O-2-64,G-O-2-65,G-O-2-66,G-O-3-76,G-O-3-77,G-O-3-78,US-A-0-157,US-A-0-158,US-A-0-159,US-A-1-7,US-A-1-8,US-A-1-9,US-A-2-19,US-A-2-21,US-A-3-31,US-A-3-33,US-A-4-45,US-B-0-166,US-B-0-167,US-B-0-168,US-B-1-10,US-B-1-11,US-B-1-12,US-B-2-22,US-B-2-23,US-B-2-24,US-B-4-46,US-C-0-145,US-C-1-1,US-C-1-3,US-C-2-13,US-C-2-14,US-C-2-15,US-C-3-25,US-C-3-26,US-C-3-27,US-C-4-37,US-C-4-38,US-C-4-39,US-O-0-148,US-O-0-149,US-O-0-150,US-O-1-4,US-O-1-5,US-O-1-6,US-O-2-16,US-O-2-17,US-O-2-18,US-O-3-28,US-O-3-29
aa6034e5ba8e7cf942bece2c312e4848,8,43,82,19,5,2,7,2,2,0,38,1,1,63,33,102,69,52,120,12,3,4,0,3,24,2,2,5,0,0,0,0,0,0,0,9,0,0,0,10,8,1,0,0,2,0,0,12,58,21,190,14,88,0,7,2,4,6,12,9,2,42,43,38,36,48,15,30,2,0,11,29,11,4,12,1,6,1,5,0,0,0,2,0,0,47,5,3,14,0,2,0,1,2,14,19,31,21,25,20,8,6,4,8,1,88,238,55,26,35,13,4,17,1,2,15,0,7,1,0,0,2,3,2,0,0,0,7,7,0,5,0,4,0,2,1,9,3
9f5657c265e7aa0997db5c7b71e39704,0,0,4,0,35,27,74,5,40,13,46,49,37,0,0,0,8,0,20,5,36,7,4,7,35,18,2,2,9,14,3,8,1,4,2,0,0,0,0,4,6,3,10,9,10,30,62,0,0,0,0,2,1,39,41,48,50,57,60,24,24,0,0,0,0,8,47,16,16,22,7,8,2,13,2,3,9,4,4,3,2,4,0,0,0,0,8,2,50,45,26,36,31,29,0,0,0,0,0,0,41,67,75,74,26,0,0,0,6,5,0,8,13,6,29,0,2,10,2,2,4,3,1,3,3,2,0,0,0,0,4,0,2,34,38,9,33,27
fc7264cd06bae5a941b460cdcd9b3c3c,1,28,12,41,11,3,12,0,6,2,9,3,5,0,15,0,50,26,47,5,3,3,0,2,0,2,13,10,16,0,0,0,0,0,2,0,0,0,0,16,12,11,32,50,14,12,11,24,19,77,49,37,44,9,3,17,5,7,5,11,2,39,10,12,10,13,15,6,7,0,0,2,9,16,9,2,11,6,3,6,2,4,0,0,0,18,14,11,16,44,84,32,34,14,6,68,36,25,38,54,14,6,6,6,4,25,9,6,9,59,12,0,6,2,0,0,5,7,0,3,0,1,6,2,2,0,0,0,0,0,10,18,7,46,25,31,15,12
765ded33aabc6fc02b52873d060a8097,0,1,0,0,22,23,18,4,21,2,11,21,1,0,0,0,8,0,14,0,28,1,0,10,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,382,15,8,0,0,0,0,6,0,38,26,21,21,81,58,9,43,0,0,15,0,25,111,3,9,31,4,0,33,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,91,24,21,34,52,44,0,0,0,0,0,0,96,37,21,30,18,0,0,0,0,0,0,58,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,12,17
d4c332afd158dd64681807068fb6d51b,0,0,0,0,10,11,9,98,16,45,3,2,8,0,0,0,0,3,7,52,12,31,0,12,11,6,14,24,23,15,10,10,8,6,3,0,0,0,0,4,8,27,6,0,13,11,21,0,0,0,0,0,0,28,10,9,11,8,6,9,0,0,0,0,0,0,13,51,9,8,4,7,5,15,0,3,24,3,4,4,7,5,0,0,0,0,0,0,0,28,20,9,5,9,0,0,0,0,0,0,14,13,10,6,4,0,0,0,16,6,3,11,15,40,22,0,0,27,18,33,14,15,20,23,7,5,19,0,0,0,7,0,0,24,29,22,7,20
f66ae8cb916a3d91578eaf74f1caea06,0,3,10,50,16,14,9,5,0,69,0,3,0,0,0,0,24,69,11,85,9,11,0,0,0,10,13,19,5,1,0,2,2,3,0,0,0,0,0,9,8,12,29,33,16,8,20,0,0,0,6,1,0,19,8,17,2,3,6,3,0,0,0,0,0,3,142,0,2,0,1,0,9,5,3,0,7,2,4,4,3,3,0,0,0,0,0,0,28,8,21,20,13,3,0,0,0,7,1,4,55,24,3,11,4,0,0,0,7,0,5,67,60,59,0,0,14,0,14,4,9,9,5,5,1,0,1,0,0,0,2,0,0,55,8,38,16,30
80f71ef7bcd903509b0aa796f460e84d,5,8,93,8,2,0,6,2,0,1,1,2,0,90,53,106,12,43,3,9,2,4,1,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,24,16,39,11,72,2,17,6,1,2,4,0,0,113,85,143,37,42,38,35,5,1,4,4,0,8,0,3,0,0,0,0,0,0,42,0,0,33,0,0,45,0,0,0,0,0,18,21,9,11,23,3,0,8,7,4,0,80,65,49,29,13,96,18,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,7,2,0,0,0,0,0
e7b7351f739090eee134767735f06ed6,0,0,4,2,14,5,16,4,9,0,8,20,17,0,0,0,19,5,9,0,10,3,12,30,7,14,7,12,6,9,11,12,18,20,26,0,0,0,0,3,0,2,8,14,11,19,10,0,0,0,3,4,3,14,12,18,4,18,27,17,14,0,0,3,19,6,25,7,19,29,29,9,15,12,31,14,11,27,12,14,20,10,0,0,0,0,0,3,33,28,12,19,34,30,0,0,0,0,3,1,2,13,9,15,14,0,0,0,10,6,4,3,2,0,10,0,13,22,27,19,17,11,13,6,19,24,11,0,0,0,1,3,1,18,6,27,17,14
451fed34ca73dfab7084bb65dc5f9460,0,0,0,1,17,5,10,0,24,4,10,2,18,0,0,0,5,6,9,0,11,1,6,6,6,4,6,3,8,14,34,34,47,31,18,22,0,0,0,2,4,0,5,13,5,1,37,0,0,0,1,4,1,13,5,10,9,1,6,16,21,0,0,1,4,3,5,8,6,11,4,2,9,16,18,44,40,67,55,59,20,42,0,0,0,0,12,0,18,4,14,12,8,7,0,0,0,1,0,0,4,7,10,20,10,0,0,0,5,0,1,0,0,4,4,0,1,8,28,11,23,21,40,26,32,37,21,0,0,0,2,7,1,10,1,9,8,5
13fb5bdf8c843afdef70e94eb001f20e,0,0,3,3,7,10,14,4,35,10,22,11,23,0,0,0,4,4,5,0,13,3,2,7,8,2,11,17,39,29,23,14,33,13,22,0,0,0,0,9,9,13,7,1,11,16,20,0,0,0,0,6,3,17,8,5,6,12,10,9,11,0,0,7,15,15,8,5,19,30,3,0,18,21,14,24,26,20,17,21,21,14,0,0,0,6,8,5,22,4,7,9,7,7,0,0,0,6,6,3,9,9,17,10,4,0,0,0,16,6,7,7,3,9,10,0,2,32,16,26,15,21,25,18,3,18,25,0,0,0,17,17,12,12,8,6,8,4
